File name;Assisted to climb.Question112;Attributes.Cargo Pick Up;Attributes.Defense;Attributes.Hatch pick up;Attributes.Speed;Climb.Question111;Cross Hab Line.Question011;FC1SC.Question038;FC1SH.Question037;FC1TC.Question040;FC1TH.Question039;FC2SC.Question042;FC2SH.Question041;FC2TC.Question044;FC2TH.Question043;FC3SC.Question046;FC3SH.Question045;FC3TC.Question048;FC3TH.Question047;FC4SC.Question050;FC4SH.Question049;FC4TC.Question052;FC4TH.Question051;FR1SLC.Question030;FR1SLH.Question029;FR1SRC.Question034;FR1SRH.Question033;FR1TLC.Question032;FR1TLH.Question031;FR1TRC.Question036;FR1TRH.Question035;FR2SLC.Question022;FR2SLH.Question021;FR2SRC.Question026;FR2SRH.Question025;FR2TLC.Question024;FR2TLH.Question023;FR2TRC.Question028;FR2TRH.Question027;FR3SLC.Question014;FR3SLH.Question013;FR3SRC.Question018;FR3SRH.Question017;FR3TLC.Question016;FR3TLH.Question015;FR3TRC.Question020;FR3TRH.Question019;Help Climb to L2.Question109;Math #.Match # 1's;"Math #.Match # 10""s";Math #.Match # 100's;NC1SC.Question054;NC1SH.Question053;NC1TC.Question056;NC1TH.Question055;NC2SC.Question058;NC2SH.Question057;NC2TC.Question060;NC2TH.Question059;NC3SC.Question062;NC3SH.Question061;NC3TC.Question064;NC3TH.Question063;NC4SC.Question066;NC4SH.Question065;NC4TC.Question068;NC4TH.Question067;NR1LSC.Question092;NR1LSH.Question091;NR1LTC.Question094;NR1LTH.Question093;NR1RSC.Question099;NR1RSH.Question095;NR1RTC.Question100;NR1RTH.Question098;NR2LSH.Question083;NR2LTC.Question086;NR2LTH.Question085;NR2RSC.Question088;NR2RSH.Question087;NR2RTC.Question090;NR2RTH.Question089;NR2SLC.Question078;NR2SLC.Question084;NR3LTC.Question101;NR3RSH.Question082;NR3RTC.Question102;NR3RTH.Question079;NR3SC.Question070;NR3SH.Question069;NR3TH.Question071;Position .Question008;Start Level.Question010;Team #.Team # 10's;Team #.Team # 100's;Team #.Team # 1000's;Team #.Team #1's;help climb l3.Question110;played Defense.Question012
590;;0;2;0;1;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;9;0;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B1;2;9;0;4;6;;1
591;;1;1;0;0;1;1;;;;;;;;;;;1;1;;;1;1;;;;;;1;;;;;;;;;;;;;;;;;;;;5;9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B3;1;3;6;3;0;;
570;;1;0;1;1;1;1;;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;8;9;0;;;;;;;;;;;;;;;;;;;1;1;;;1;1;;;;;;;;;;;;;;;;;B2;1;9;5;4;3;;
592;;0;0;0;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;9;0;;;;;;;1;;;;1;;;;1;;;;;1;;;;1;;;1;;;;;;;;;;;;;1;R3;2;8;8;2;3;;
571;;0;2;0;1;1;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R2;2;7;6;2;3;;1
593;;2;2;2;2;3;1;;;;1;;;1;;;;1;;;;1;;;1;;;;;;;;1;;;1;;1;1;;;;;;1;;1;;5;9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R1;1;4;6;3;1;;
572;;1;0;1;1;1;1;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;9;0;;;1;1;1;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;B1;1;1;0;6;6;;
594;;1;1;1;1;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B2;2;2;0;6;4;;
573;;2;0;1;1;3;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;1;;8;9;0;;;;;;;;;;;;;;;;;;;1;1;;;1;1;;;;;;;;;;;;;;;;;B3;2;4;9;4;6;;
595;;1;0;2;2;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;9;0;;;;;;;;;;;;;;;;;;;;1;;1;;;;;1;;;1;1;;;;;;1;;;1;B1;1;6;0;2;2;;
574;;1;0;1;1;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;9;0;;;;;;;;;;;;;;;;;;;1;1;;;1;1;;1;1;;;1;1;;;;;;;;;;R3;1;7;1;0;6;;
596;;1;2;1;2;2;1;;;;;;;;;;;;;;;1;;;;;1;;1;;;;;;;;;;;;;;;;;;;;4;9;0;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;B3;2;8;7;1;7;;
575;;1;0;0;0;1;1;;;;;;;1;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;8;9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R1;1;2;5;7;3;;
597;;0;2;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R2;2;1;4;7;7;;1
576;;2;1;2;1;0;1;;;;;;;;;;;;;;;;;;1;;;1;;1;1;;;;;1;1;1;1;;;;;1;1;1;1;;7;9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R2;1;0;7;2;2;;
598;;1;1;0;1;2;1;;;;;;;1;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;4;9;0;;;;;;;1;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;R1;1;2;1;0;0;;
577;;0;0;0;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;9;0;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R3;2;8;8;1;5;;
599;;0;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R3;1;2;0;6;4;;
578;;0;2;0;2;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B1;1;9;7;7;7;;1
579;;0;0;1;0;3;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;7;9;0;;;;1;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;B3;1;3;0;4;9;;
580;;1;2;0;2;1;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R1;1;5;9;2;7;;1
581;;0;0;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;9;0;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;B2;2;3;1;4;0;;
582;;1;0;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;9;0;;;;;;;1;;;;1;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;B1;2;0;2;2;2;;
583;;0;0;0;1;2;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;9;0;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R3;1;9;4;7;1;;1
584;;2;0;2;1;3;1;;1;;;;;;;;;1;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;6;9;0;;;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;R1;2;3;2;6;7;;
585;;2;2;2;2;3;1;;;;;;;1;;;;1;;;;1;;;;;1;1;1;1;;;;;;1;1;1;1;;;;;1;1;1;1;;6;9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B3;1;1;3;0;9;;
564;;0;0;1;1;3;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;9;0;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;B2;1;2;7;4;8;;
586;;2;0;2;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;9;0;;;;;;;;;;;;;;;;;;;;;;1;1;;;1;1;;;1;1;;;1;;;1;;;1;B2;1;4;5;4;1;;
565;;1;0;1;0;3;1;;;;;;;;;;;1;;;;1;;;1;;;;;1;1;;;;;;;;;;;;;;;;;;9;9;0;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;R1;1;0;5;1;6;;
587;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R2;2;4;6;7;5;;
566;;2;1;2;1;1;1;;1;;;;;1;1;;;1;;;;1;;;;;;;;;;;;;;1;1;1;1;;;;;;;;;;9;9;0;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;B3;1;7;5;1;4;;
588;;1;0;1;1;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;9;0;;;;;;;;;;;;;;;;;;1;;;;;;1;;1;1;;;;1;;;1;;1;1;;;1;B2;1;7;0;3;5;;
567;;0;2;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;9;0;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B1;2;2;1;5;5;;1
589;;0;1;0;1;3;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;9;0;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R2;2;2;7;5;4;;
568;;0;1;0;1;2;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R2;2;2;5;4;5;;1
569;;1;1;1;1;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;9;0;;;;;;;1;;;;1;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;R3;2;9;9;2;4;;
